Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59412817,The Lies I Tell,Julie   Clark,"Clark, Julie",,"=""1728247594""","=""9781728247595""",0,4.09,Sourcebooks Landmark,Hardcover,302,2022,2022,,2025/08/25,to-read,to-read (#189),to-read,,,,0,0
56268973,These Silent Woods,Kimi Cunningham Grant,"Grant, Kimi Cunningham",,"=""1250793394""","=""9781250793393""",0,4.03,Minotaur Books,Hardcover,288,2021,2021,,2025/08/25,to-read,to-read (#188),to-read,,,,0,0
57505278,All Her Little Secrets,Wanda M. Morris,"Morris, Wanda M.",,"=""0063204339""","=""9780063204331""",0,3.70,William Morrow,Hardcover,384,2021,2021,,2025/08/25,to-read,to-read (#187),to-read,,,,0,0
171793386,What Happened to Nina?,Dervla McTiernan,"McTiernan, Dervla",,"=""""","=""""",5,4.06,William Morrow,Kindle Edition,328,2024,2024,2025/08/25,2025/08/15,,,read,,,,1,0
56393543,The Pact,Sharon J. Bolton,"Bolton, Sharon J.",,"=""1409198308""","=""9781409198307""",0,3.94,Trapeze,Hardcover,384,2021,2021,,2025/08/25,to-read,to-read (#186),to-read,,,,0,0
52652923,The Last Flight,Julie   Clark,"Clark, Julie",,"=""1728215722""","=""9781728215723""",0,4.10,Sourcebooks Landmark,Hardcover,320,2020,2020,,2025/08/24,to-read,to-read (#185),to-read,,,,0,0
45046683,Little Secrets,Jennifer Hillier,"Hillier, Jennifer",,"=""""","=""""",0,4.21,Minotaur Books,Hardcover,352,2020,2020,,2025/08/24,to-read,to-read (#184),to-read,,,,0,0
52217478,Pretty Things,Janelle Brown,"Brown, Janelle",,"=""0525479139""","=""9780525479130""",0,3.89,Random House,ebook,496,2020,2020,,2025/08/24,to-read,to-read (#183),to-read,,,,0,0
41150430,A Stranger on the Beach,Michele Campbell,"Campbell, Michele",,"=""1250202531""","=""9781250202536""",0,3.70,St. Martin's Press,Hardcover,352,2019,2019,,2025/08/24,to-read,to-read (#182),to-read,,,,0,0
42201920,The Arrangement,Robyn Harding,"Harding, Robyn",,"=""198211049X""","=""9781982110499""",0,3.73,Scout Press,Hardcover,343,2019,2019,,2025/08/24,to-read,to-read (#181),to-read,,,,0,0
39863488,The Lost Man,Jane Harper,"Harper, Jane",,"=""1250105684""","=""9781250105684""",0,4.16,Flatiron Books,Hardcover,340,2019,2018,,2025/08/24,to-read,to-read (#180),to-read,,,,0,0
34189556,The Wife Between Us,Greer Hendricks,"Hendricks, Greer",Sarah Pekkanen,"=""1250130921""","=""9781250130921""",0,3.83,St. Martin's Press,Hardcover,432,2018,2018,,2025/08/24,to-read,to-read (#179),to-read,,,,0,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",0,4.04,Atria Books,Paperback,359,2018,2017,,2025/08/24,to-read,to-read (#178),to-read,,,,0,0
36448554,Bring Me Back,B.A. Paris,"Paris, B.A.",,"=""1250151333""","=""9781250151339""",0,3.50,St. Martin's Press,Hardcover,291,2018,2018,,2025/08/24,to-read,to-read (#177),to-read,,,,0,0
38355282,Watching You,Lisa Jewell,"Jewell, Lisa",,"=""1501190075""","=""9781501190070""",0,3.87,Atria Books,Hardcover,320,2018,2018,,2025/08/24,to-read,to-read (#176),to-read,,,,0,0
59651557,"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""0593437810""","=""9780593437810""",3,3.65,Berkley,Kindle Edition,112,2022,2022,2022/01/01,2025/08/23,,,read,boring,,,1,0
216180339,How to Survive a Slasher,Justine Pucella Winans,"Winans, Justine Pucella",,"=""1547616318""","=""9781547616312""",0,3.56,Bloomsbury YA,Hardcover,304,2025,2025,,2025/08/23,to-read,to-read (#175),to-read,,,,0,0
59881439,"Self-Care in Underwear: Yoga in Your Undies, Bubble Baths, and 50+ More Ways to Improve Well-Being",Ton Mak,"Mak, Ton",,"=""1797214217""","=""9781797214214""",3,4.50,Chronicle Books,Hardcover,120,2022,,2025/05/23,2025/08/22,,,read,,,,1,0
211025407,Homeseeking,Karissa Chen,"Chen, Karissa",,"=""""","=""""",0,4.22,G.P. Putnam's Sons,Hardcover,512,2025,2025,,2025/08/22,to-read,to-read (#174),to-read,,,,0,0
41837243,Lock Every Door,Riley Sager,"Sager, Riley",,"=""1524745154""","=""9781524745158""",0,3.89,Dutton,ebook,381,2019,2019,,2025/08/22,to-read,to-read (#173),to-read,,,,0,0
133938826,Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,"Bo-Reum, Hwang",Shanna Tan,"=""""","=""""",0,3.91,Bloomsbury Publishing,Hardcover,307,2024,2022,,2025/08/22,to-read,to-read (#172),to-read,,,,0,0
91274427,What You Are Looking For Is in the Library,Michiko Aoyama,"Aoyama, Michiko",Alison Watts,"=""1335005625""","=""9781335005625""",0,4.05,Hanover Square Press,Hardcover,304,2023,2020,,2025/08/22,to-read,to-read (#171),to-read,,,,0,0
40961230,The Travelling Cat Chronicles,Hiro Arikawa,"Arikawa, Hiro",Philip Gabriel,"=""0735235244""","=""9780735235243""",0,4.33,Viking,Kindle Edition,281,2018,2012,,2025/08/22,to-read,to-read (#170),to-read,,,,0,0
212807260,"The Curious Kitten at the Chibineko Kitchen (Meals to Remember at the Chibineko Kitchen, #1)",Yuta Takahashi,"Takahashi, Yuta",Cat Anderson,"=""0143138618""","=""9780143138617""",0,3.94,Penguin Books,Paperback,192,2025,2020,,2025/08/22,to-read,to-read (#169),to-read,,,,0,0
64625125,"The Tea Ladies (The Tea Ladies, #1)",Amanda  Hampson,"Hampson, Amanda",,"=""1761043854""","=""9781761043857""",3,3.75,Penguin Random House,Trade Paperback,368,2023,2023,2025/08/21,2025/08/15,,,read,,,,1,0
62874245,The Drowning Woman,Robyn Harding,"Harding, Robyn",,"=""1538726769""","=""9781538726761""",0,4.04,Grand Central Publishing,Hardcover,336,2023,2023,,2025/08/20,to-read,to-read (#168),to-read,,,,0,0
57693172,A Flicker in the Dark,Stacy Willingham,"Willingham, Stacy",,"=""1250803829""","=""9781250803825""",0,3.98,Minotaur Books,Hardcover,357,2022,2022,,2025/08/20,to-read,to-read (#167),to-read,,,,0,0
205837684,The Last Party,A.R. Torre,"Torre, A.R.",,"=""1662519583""","=""9781662519581""",0,4.07,Thomas & Mercer,Kindle Edition,349,2024,2024,,2025/08/20,to-read,to-read (#166),to-read,,,,0,0
37905907,The Lies We Told,Camilla Way,"Way, Camilla",,"=""1101989548""","=""9781101989548""",0,3.97,Berkley ,Kindle Edition,336,2018,2018,,2025/08/20,to-read,to-read (#165),to-read,,,,0,0
52476830,The Push,Ashley Audrain,"Audrain, Ashley",,"=""1984881663""","=""9781984881663""",0,4.04,Pamela Dorman Books,Hardcover,307,2021,2021,,2025/08/20,to-read,to-read (#164),to-read,,,,0,0
